build_time,tests_failed,cpu_usage,memory_usage,vulnerabilities,status
85,0,35,320,0,success
95,0,40,350,0,success
110,0,42,380,1,success
120,1,45,400,0,success
130,0,48,420,1,success
140,1,50,450,1,success
150,0,52,470,0,success
160,1,55,490,1,success
170,1,58,510,1,success
180,2,60,530,2,success
190,1,62,550,1,success
200,2,65,580,2,success
210,3,68,610,2,failed
220,4,72,650,3,failed
230,5,75,680,3,failed
240,4,78,700,4,failed
250,6,80,720,4,failed
260,5,82,750,5,failed
275,7,85,780,5,failed
290,6,87,800,6,failed
300,8,90,830,6,failed
320,9,92,860,7,failed
340,10,94,900,8,failed
360,12,96,950,9,failed
